Termo de Busca,Ranking de Busca,ID do Anuncio,Titulo,Marca,Categoria,Preco (R$),Preco Original (R$),Desconto (%),Avaliacao (0-5),Qtd Avaliacoes,Vendas Estimadas,Faturamento Estimado (R$),Frete Gratis,FULL,Localizacao,Garantia,Link
Amendoim Caramelizado Brasil Frutt,7,MLB6526576980,Amendoim Caramelizado Com Chocolate 500g,Requena,Amendoins,17.36,22.9,24,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-6526576980
Amendoim Caramelizado Brasil Frutt,8,MLB4516502047,Amendoim Caramelizado 1kg Crocante Zanckers Premium,Zanckers,Amendoins,27.05,46.49,42,0,0,0,0,Nao,Sim,"Ibitinga, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-4516502047
Amendoim Caramelizado Brasil Frutt,9,MLB5466848820,Flocos De Arroz Caramelizado Abelhão Com Amendoim Sem Glúten 100g,Abelhao,Guloseimas,14.24,14.99,5,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5466848820
Amendoim Caramelizado Brasil Frutt,10,MLB2216173531,Ovinhos de Amendoim Brasil Frutt 160g,Brasil Frutt,Amendoins,9.9,9.9,0,0,0,0,0,Nao,Sim,"São José dos Campos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-2216173531
Amendoim Caramelizado Brasil Frutt,11,MLB2216092137,Ovinhos de Amendoim Brasil Frutt 160g,Brasil Frutt,Amendoins,10.9,10.9,0,0,0,0,0,Nao,Sim,"São José dos Campos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-2216092137
Amendoim Caramelizado Brasil Frutt,12,MLB5310189814,Ovinho De Amendoim 1.010 Kg - Brasil Frutt,Brasil Frutt,Amendoins,29.78,29.78,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5310189814
Amendoim Caramelizado Brasil Frutt,13,MLB3234777714,Ovinho De Amendoim 1.010 Kg - Brasil Frutt,Brasil Frutt,Amendoins,34.9,34.9,0,0,0,0,0,Nao,Sim,"São José dos Campos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3234777714
Amendoim Caramelizado Brasil Frutt,14,MLB4421538407,Ovinho De Amendoim 1.010 Kg - Brasil Frutt,Brasil Frutt,Amendoins,36.9,36.9,0,0,0,0,0,Nao,Sim,"São José dos Campos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4421538407
Amendoim Caramelizado Brasil Frutt,15,MLB5219348324,Amendoim Crocante Tradicional 1.010kg Brasil Frutt,Brasil Frutt,Frutas Secas,33.71,35.1,4,0,0,0,0,Nao,Sim,"Cajamar, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5219348324
Amendoim Caramelizado Brasil Frutt,16,MLB3932120199,Amendoim Crocante Tradicional 1.010kg Brasil Frutt,Brasil Frutt,Frutas Secas,38.1,38.1,0,0,0,0,0,Nao,Sim,"Cajamar, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3932120199
Amendoim Caramelizado Brasil Frutt,17,MLB4005379557,"Amendoim Sem Pele Torrado e Salgado Brasil Frutt 1,010kg",Brasil Frutt,Amendoins,34.65,34.65,0,0,0,0,0,Nao,Sim,"Cajamar, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4005379557
Amendoim Caramelizado Brasil Frutt,18,MLB4005280589,"Amendoim Torrado Sem Sal S/ Pele Pacote 1,010kg Brasil Frutt",Brasil Frutt,Amendoins,33.96,33.96,0,0,0,0,0,Nao,Sim,"Cajamar, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4005280589
Amendoim Caramelizado Brasil Frutt,19,MLB5219084760,Snack Mix Amendoim Crocante Pacote 1.010kg Brasil Frutt,Brasil Frutt,Frutas Secas,29.67,35.1,15,0,0,0,0,Nao,Sim,"Cajamar, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5219084760
